"country_of_origin","aroma","flavor","acidity","category_two_defects","altitude_mean_meters","harvested","Qualityclass"
"El Salvador",7.5,7.5,7.58,1,1350,2017,1
"China",7.67,7.42,7.5,0,1600,2015,0
"Mexico",7.58,7.33,7.25,8,808,2012,0
"El Salvador",7.5,7.5,7.67,0,1350,2016,1
"Uganda",7.67,7.58,7.42,6,1473,2015,1
"Tanzania, United Republic Of",7.25,7.17,7.25,5,1700,2016,0
"Brazil",7.5,7.5,7.5,3,934,2016,0
"China",7.33,7.17,7.08,28,1200,2013,0
"Mexico",7.25,7.17,7.33,2,1600,2016,0
"Thailand",7.5,7.83,7.75,0,800,2014,1
"Guatemala",7.5,7.42,7.75,2,1219.2,2017,1
"Guatemala",8.17,8.17,7.67,1,1450,2012,1
"Costa Rica",7.75,7.5,7.25,3,1850,2015,0
"Mexico",7.25,7.08,7.33,21,940,2012,0
"Mexico",7.75,7.33,7.58,1,1170,2012,0
"Mexico",7.58,7.42,7.42,5,1600,2012,0
"El Salvador",7.83,8,7.75,0,1350,2012,1
"Mexico",7.5,7.42,7.42,2,1200,2012,0
"Costa Rica",7.67,7.75,7.75,0,1850,2014,1
"Brazil",7.83,7.75,7.75,2,1100,2012,1
"Honduras",7.5,7.5,7.67,5,1450,2013,1
"Tanzania, United Republic Of",7.42,7.42,7.58,3,1350,2014,0
"Guatemala",7.17,7.17,7.17,4,1310.64,2012,0
"Ethiopia",8.08,7.83,7.83,3,1900,2014,1
"Kenya",7.92,7.83,7.92,0,1800,2014,1
"United States (Puerto Rico)",7.83,7.83,7.67,1,853.44,2013,1
"Mexico",7.42,7,7.08,4,1400,2012,0
"Mexico",7.17,7.33,7.58,0,1250,2012,0
"Mexico",8.08,8.17,8,4,1200,2012,1
"Guatemala",7.5,7.5,7.42,0,1219.2,2017,0
"Guatemala",7.5,7.25,7.25,1,1219.2,2015,0
"Peru",7.42,7.75,7.67,9,1200,2014,0
"Mexico",7.5,7.33,7.42,11,1100,2017,0
"Colombia",7.75,7.67,7.58,3,1750,2013,1
"China",7.5,7.67,7.67,2,1500,2015,1
"Guatemala",7.5,7.67,7.67,1,1386.84,2010,1
"India",7.58,7.42,7.83,0,750,2013,0
"Ethiopia",7.75,7.67,7.67,7,1850,2014,1
"Laos",7.42,7.33,7.17,0,1300,2016,0
"Guatemala",7.42,7.25,7.25,4,1450,2012,0
"Colombia",7.67,7.67,7.67,1,1900,2013,1
"Tanzania, United Republic Of",7.67,7.42,7.58,1,1600,2014,1
"Mexico",8,7.92,8.08,0,1350,2012,1
"Uganda",8.17,7.75,7.67,29,1700,2012,1
"Indonesia",7.5,7.58,7.58,15,1500,2017,1
"Ethiopia",7.75,7.75,7.67,4,1676.5,2014,1
"Brazil",7.75,8.08,8.08,0,1100,2015,0
"Honduras",7.5,7.5,7.17,3,1500,2017,0
"Thailand",7.42,7.5,7.67,0,1500,2013,1
"Colombia",7.5,7.58,7.67,0,1625,2012,1
"Tanzania, United Republic Of",7.75,7.67,7.67,21,1400,2015,1
"Costa Rica",7.67,7.42,7.67,3,1300,2013,1
"Colombia",8,7.58,7.58,0,1850,2014,1
"Colombia",7.75,7.92,7.75,3,1775,2012,1
"Guatemala",7.83,7.5,8,5,1524,2012,1
"Kenya",7.75,7.92,8,0,2000,2012,1
"Guatemala",7.58,7.58,7.67,1,1901,2017,1
"Kenya",7.75,7.83,8.08,5,1580,2012,1
"Uganda",7.33,6.92,7.33,3,1700,2013,0
"Brazil",7.58,7.58,7.58,2,950,2012,0
"Tanzania, United Republic Of",7.58,7.67,7.58,6,1653,2014,1
"Mexico",7.58,7.58,7.58,2,1100,2012,1
"Myanmar",7.33,7.58,7.42,2,4001,2015,0
"Brazil",7.58,7.5,7.67,1,1200,2014,0
"Mexico",7.58,7.42,7.5,2,1550,2012,0
"Mexico",7.58,7.67,7.67,8,1100,2012,0
"Indonesia",7.83,7.75,7.5,5,1250,2017,1
"Mexico",7.42,7.17,7.17,19,750,2012,0
"China",7.83,7.75,7.5,2,1650,2015,1
"Brazil",7.67,7.58,7.5,2,905,2015,1
"Colombia",7.75,7.67,7.67,0,442,2016,1
"Honduras",7.33,7.33,7.5,5,1400,2014,0
"Mexico",7.33,7.5,7.5,0,1600,2012,0
"Colombia",7.83,7.5,7.33,0,1750,2013,1
"Colombia",7.75,7.58,7.25,3,1800,2012,1
"Guatemala",7.5,7.5,7.67,1,1859.28,2013,0
"Colombia",7.67,7.67,7.58,7,1600,2015,1
"Brazil",7.58,7.5,7.75,4,890,2018,1
"Tanzania, United Republic Of",7.58,7.17,7.33,2,1550,2014,0
"Brazil",7.5,7.75,7.5,3,890,2018,1
"Thailand",7.67,7.58,7.75,0,800,2014,1
"Mexico",7.67,7.75,7.75,12,940,2012,1
"Tanzania, United Republic Of",7.42,7.42,7.42,4,1600,2014,0
"Colombia",7.58,7.5,7.58,0,1750,2013,1
"Guatemala",7.67,7.67,7.67,0,1500,2012,1
"Guatemala",7.67,7.67,7.67,4,1500,2014,1
"Mexico",7.83,7.67,7.58,3,1059,2015,1
"Malawi",7.33,7.58,7.58,0,1450,2014,0
"Guatemala",7.33,7.25,7.33,2,1700,2017,0
"Mexico",7.5,7.58,7.67,3,1170,2012,0
"Mexico",7.67,7.33,7.5,1,940,2012,0
"Guatemala",7.67,7.5,7.67,2,1450,2016,0
"Mexico",7.5,7.42,7.5,8,690,2012,0
"El Salvador",7.67,7.67,7.67,7,1200,2016,1
"Uganda",7.75,7.92,7.67,1,1650,2013,1
"Colombia",7.5,7.5,7.58,2,1775,2012,1
"Colombia",7.67,7.33,7.33,0,1775,2012,0
"Colombia",7.67,7.67,7.67,2,442,2016,1
"Mexico",7.67,7.5,7.5,9,1400,2013,0
"Colombia",7.67,7.83,8,2,1750,2012,1
"Mexico",7.58,7.42,7.75,1,1250,2012,0
"Colombia",7.5,7.5,7.42,1,1750,2013,1
"Mexico",7.58,7.5,7.58,6,1300,2013,0
"Costa Rica",7.5,7.67,7.5,3,1200,2013,1
"Colombia",7.83,7.67,7.58,1,1600,2014,1
"Mexico",7.83,7.58,7.5,14,1170,2012,1
"Thailand",7.42,7.58,7.42,1,1450,2014,1
"Mexico",7.25,7.42,7.33,16,1650,2012,0
"Mexico",7.42,7.33,7.17,8,763,2012,0
"Brazil",7.42,7.25,7,3,1200,2015,0
"Brazil",7.25,7.5,7.17,0,1100,2015,0
"Mexico",7.42,7.42,7.33,1,1500,2012,0
"Mexico",7.42,7.25,7,3,1248,2012,0
"Brazil",7.17,7.33,7.25,6,1200,2015,0
"Guatemala",7.75,7.83,7.92,1,1524,2014,1
"Tanzania, United Republic Of",7.67,7.33,7.42,20,1650,2015,0
"Tanzania, United Republic Of",7.67,7.17,7.33,2,1050,2016,0
"Honduras",7.33,7.33,7.33,3,1450,2014,0
"Mexico",7.42,7.42,7.17,5,1250,2012,0
